"TABLE_NAME","COLUMN_NAME"
"AJUSTES_STOCK","ID_AJUSTE"
"APP_CONFIG","CLAVE"
"AUDITORIA_PRODUCTO_PROVEEDOR","ID_AUDITORIA"
"BIN$NjvXFgUw2kjgY1hjAAopxg==$0","NRO_ORDEN"
"CAJA_CONF","ID_CAJA_CONF"
"CAJA_MONEDAS","ID_CAJA"
"CAJA_MONEDAS","MONEDA"
"CAJAS","ID_CAJA"
"CARGA_MASIVA_PP","ID_CARGA"
"CATEGORIAS_PRODUCTOS","ID_CATEGORIA"
"CIUDADES","CODIGO_CIUDAD"
"CLIENTES","ID_PERSONA"
"COMPROBANTES","ID_COMPROBANTE"
"COMPROBANTES_PROVEEDOR","ID_COMPROBANTE"
"CUENTAS_COBRAR","ID_CXC"
"CUENTAS_COBRAR_DET","ID_DETALLE"
"CUENTAS_PAGAR","ID_CXP"
"DBTOOLS$MCP_LOG","ID"
"DEPARTAMENTOS","CODIGO_DEPARTAMENTO"
"DETALLE_CARGA_MASIVA_PP","ID_DETALLE"
"DETALLE_COMPROBANTE","ID_DETALLE"
"DETALLE_COMPROBANTE_PROV","ID_DETALLE"
"DETALLE_MOVIMIENTO_CAJA","ID_DETALLE"
"DETALLE_ORDEN","ID_DETALLE"
"DETALLE_ORDEN_COMPRA","ID_DETALLE_OC"
"DETALLE_RECEPCION_COMPRA","ID_DETALLE_REC"
"DIRECCIONES","ID_DIRECCION"
"DOCUMENTOS","ID_DOCUMENTO"
"EMPLEADOS","ID_EMPLEADO"
"EMPLEADOS_ROLES","ID_EMPLEADO_ROL"
"FORMAS_PAGO","ID_FORMA_PAGO"
"INVENTARIO","ID_INVENTARIO"
"INVENTARIO_DETALLE","ID_INVENTARIO_DETALLE"
"MARCAS","ID_MARCA"
"MARGEN_CATEGORIA","ID_MARGEN"
"METAS_COBRANZA","ID_META"
"METAS_VENTA","ID_META"
"METODOS_PAGO","ID_METODO_PAGO"
"MONEDAS","CODIGO_MONEDA"
"MOTIVOS_NOTA_CREDITO","COD_MOTIVO"
"MOVIMIENTOS_CAJA","ID_MOVIMIENTO"
"MOVIMIENTOS_STOCK","ID_MOVIMIENTO"
"OFICINAS","CODIGO_OFICINA"
"ORDENES_COMPRA","ID_ORDEN_COMPRA"
"ORDENES_PAGO","ID_ORDEN_PAGO"
"ORDENES_VENTA","ID_ORDEN"
"ORDEN_PAGO_DET","ID_DETALLE"
"PAISES","ID_PAIS"
"PARAMETROS","ID_PARAMETRO"
"PERSONAS","ID_PERSONA"
"PLANES_CUOTA","ID_PLAN_CUOTA"
"PRECIO_POR_CATEGORIA","ID_PRECIO"
"PRIVILEGIOS","ID_PRIV"
"PRODUCTO_PROVEEDORES","ID_PRODUCTO"
"PRODUCTO_PROVEEDORES","ID_PERSONA"
"PRODUCTO_PROVEEDORES","FECHA_INICIO"
"PRODUCTOS","ID_PRODUCTO"
"PRODUCTO_UBICACION","ID_PRODUCTO"
"PRODUCTO_UBICACION","ID_OFICINA"
"PROVEEDOR_CONTACTOS","ID_CONTACTO"
"PROVEEDORES","ID_PERSONA"
"RECEPCIONES_COMPRA","ID_RECEPCION"
"RECURSOS","ID_RECURSO"
"REFERENCIAS_DINAMICAS","REFERENCIA"
"RESERVAS_PRODUCTO","ID_RESERVA"
"ROLES","ID_ROL"
"ROLES_PRIVILEGIOS","ID_ROL"
"ROLES_PRIVILEGIOS","ID_PRIV"
"SECTORES","ID_SECTOR"
"SOLICITUDES_NOTA_CREDITO","ID_SOLICITUD_NC"
"SOLICITUDES_REVERSO_COBRO","ID_SOLICITUD_RC"
"SOLICITUD_NC_DETALLE","ID_SOL_NC_DET"
"STOCK_PRODUCTO","ID_PRODUCTO"
"STOCK_PRODUCTO","ID_OFICINA"
"TALONARIOS","ID_TALONARIO"
"TIPO_IVA","ID_TIPO_IVA"
"TIPOS_CAMBIO","ID_TC"
"TRANSFERENCIAS_STOCK","ID_TRANSFERENCIA"
"UBICACIONES","ID_UBICACION"
